,City,Country,Latitude,Logitude,Temperature,Humidity,Cloudiness,Wind Speed
434,Freetown,SL,8.48,-13.23,75.78,86,81,5.35
435,De-Kastri,RU,51.47,140.78,2.77,88,100,14.23
436,Port Hardy,CA,50.7,-127.42,37.4,74,40,6.93
437,Cauquenes,CL,-35.97,-72.32,70.75,44,0,12.17
438,Kavaratti,IN,10.57,72.64,80.17,74,9,11.72
439,Takaungu,KE,-3.68,39.86,80.31,86,100,10.29
440,Rancho Palos Verdes,US,33.74,-118.39,57.15,24,20,14.99
441,Balsas,BR,-7.53,-46.04,81.73,79,85,3.98
442,Half Moon Bay,US,37.46,-122.43,51.1,34,1,13.87
443,Juruti,BR,-2.15,-56.09,87.55,60,71,4.43
444,Puerto Narino,CO,-3.77,-70.38,89.6,70,40,4.7
445,Zaragoza,ES,41.66,-0.88,53.11,93,2,1.12
446,Tahe,CN,52.33,124.73,-17.28,92,100,7.36
447,Arrondissement de Saint-Denis,FR,48.92,2.33,55.56,76,100,19.46
448,Ostrovnoy,RU,68.05,39.51,17.98,94,100,13.96
449,Pathein,MM,16.78,94.73,72.41,65,0,12.5
450,Ambilobe,MG,-13.2,49.05,74.59,93,98,3.0
451,Vila Franca do Campo,PT,37.72,-25.43,59.0,77,20,9.17
452,Comodoro Rivadavia,AR,-45.87,-67.5,78.8,21,20,23.04
453,Sibu,MY,2.3,111.82,75.2,94,75,2.01
454,Dhidhdhoo,MV,6.88,73.1,81.88,69,0,8.55
455,Machaneng,BW,-23.19,27.49,74.3,50,0,9.44
456,La Libertad,EC,-2.23,-80.9,84.2,70,91,6.93
457,Lagoa,PT,39.05,-27.98,60.03,70,0,8.81
458,Wattegama,LK,6.8,81.48,69.87,95,0,4.07
459,Puerto Ayacucho,VE,5.66,-67.62,96.8,39,40,3.36
460,Corsicana,US,32.1,-96.47,68.77,73,90,17.22
461,Markova,UA,48.68,24.41,39.2,93,75,6.71
462,Presidencia Roque Saenz Pena,AR,-26.79,-60.44,99.9,21,0,7.11
463,Razdolnoye,RU,43.55,131.92,-4.0,70,0,2.24
464,Gambiran,ID,-6.8,111.5,74.26,93,100,1.74
465,Wamba,NG,8.93,8.6,74.8,22,0,1.86
466,Bilibino,RU,68.05,166.44,-43.4,100,100,1.9
467,Smoky Lake,CA,54.12,-112.47,9.0,79,89,4.5
468,Souris,CA,49.62,-100.26,5.0,65,20,13.87
469,Labrea,BR,-7.26,-64.8,83.28,88,100,2.64
470,Alzamay,RU,55.56,98.66,-5.78,93,100,6.93
471,Dali,CN,25.7,100.18,33.67,88,0,2.71
472,Nishihara,JP,26.18,127.76,60.06,72,40,5.82
473,Prainha,BR,-1.8,-53.48,91.4,46,54,4.76
474,Winnemucca,US,40.97,-117.74,26.37,45,1,10.29
475,Khakhea,BW,-24.69,23.49,76.41,25,0,9.15
476,Hualmay,PE,-11.1,-77.61,76.71,65,79,10.04
477,Dolores Hidalgo Cuna de la Independencia Nacional,MX,21.16,-100.93,67.1,59,90,24.74
478,Grindavik,IS,63.84,-22.43,32.0,68,90,2.24
479,Adamantas,GR,36.73,24.43,57.2,87,91,3.36
480,Copiapo,CL,-27.37,-70.33,75.2,57,40,13.87
481,Guaimaro,CU,21.05,-77.35,80.6,47,0,13.87
482,Port Hedland,AU,-20.32,118.57,80.6,74,18,2.24
483,Henties Bay,NA,-22.12,14.28,64.99,88,70,7.0
484,Sirjan,IR,29.45,55.68,36.32,40,0,5.61
485,Araouane,ML,18.9,-3.53,71.89,8,0,7.63
486,Chennai,IN,13.09,80.28,78.28,78,40,3.36
487,Ust-Maya,RU,60.42,134.53,-27.85,94,89,4.03
488,Yilan,TW,24.76,121.75,60.75,93,75,17.22
489,Gladstone,AU,-23.85,151.25,78.04,83,0,3.6
490,Sao Jose da Coroa Grande,BR,-8.9,-35.15,82.72,78,14,13.24
491,Pitea,SE,65.32,21.48,15.08,85,0,11.41
492,Iralaya,HN,15.0,-83.23,84.2,74,40,16.11
493,Saint Anthony,US,45.02,-93.22,30.45,79,75,12.75
494,Westport,US,41.14,-73.36,51.69,53,1,11.41
495,Touho,NC,-20.78,165.23,78.3,74,87,4.72
496,Baruun-Urt,MN,46.68,113.28,-20.74,85,20,4.9
497,Kamaishi,JP,39.27,141.88,28.31,60,0,6.31
498,Sola,VU,-13.88,167.55,82.89,79,85,3.53
499,Kapustin Yar,RU,48.58,45.74,41.9,91,100,12.12
500,Tsukumiura,JP,33.07,131.86,45.91,70,68,10.78
501,Nemuro,JP,43.32,145.57,26.47,66,93,17.6
502,Dustlik,UZ,40.52,68.04,38.75,80,21,6.64
503,Inhambane,MZ,-23.86,35.38,79.93,79,73,11.59
504,Yining,CN,29.04,114.56,41.43,93,24,0.49
505,Leh,IN,34.17,77.58,-9.17,44,36,4.7
506,Lanzhou,CN,36.06,103.79,15.75,43,2,6.71
507,Taicheng,CN,38.73,113.23,22.05,52,7,2.53
508,Bilma,NE,18.69,12.92,63.64,19,0,5.37
509,Atherton,GB,53.52,-2.49,40.51,86,40,12.75
510,San Cristobal,VE,7.77,-72.22,87.8,58,40,9.17
511,Wanaka,NZ,-44.7,169.15,62.01,87,100,1.01
512,Yar-Sale,RU,66.83,70.83,14.22,93,100,16.89
513,Adrar,MR,20.5,-10.07,69.4,12,0,10.31
514,Karratha,AU,-20.74,116.85,84.13,70,0,10.92
515,Krasnosel'kup,RU,65.7,82.47,-3.73,98,97,9.82
516,Khash,IR,28.22,61.22,39.92,82,0,6.4
517,Horsham,GB,51.06,-0.33,45.19,81,40,9.17
518,Mokrous,RU,51.23,47.52,30.07,91,54,9.69
519,Dobrun,RU,53.19,34.25,32.13,90,98,9.71
520,Manaure,CO,11.78,-72.44,86.0,70,75,11.41
521,Manzanillo,CU,20.34,-77.12,85.05,34,0,10.18
522,Trenggalek,ID,-8.05,111.72,71.65,96,97,1.28
523,Shibetsu,JP,43.66,145.13,16.2,88,32,6.22
524,Khuzhir,RU,53.19,107.34,4.1,90,100,10.18
525,Ambunti,PG,-4.24,142.84,74.46,99,100,3.04
526,Cururupu,BR,-1.83,-44.87,78.44,87,96,4.38
527,Carutapera,BR,-1.2,-46.02,81.5,80,40,14.67
528,Houston,US,29.76,-95.36,73.04,64,75,13.87
529,Shelburne,CA,44.08,-80.2,38.89,59,1,9.17
530,Teguise,ES,29.06,-13.56,71.6,46,0,13.87
531,Codajas,BR,-3.84,-62.06,90.41,59,78,2.62
532,Francistown,BW,-21.17,27.51,78.8,39,0,6.93
533,Mocuba,MZ,-16.84,36.99,73.71,97,9,1.16
534,Ciudad Lazaro Cardenas,MX,17.96,-102.2,84.96,50,100,8.34
535,Saint-Joseph,RE,-21.37,55.62,75.27,65,0,20.8
536,Mayo,US,38.89,-76.51,62.98,41,1,6.93
537,Tabou,CI,4.42,-7.35,78.03,86,0,4.9
538,Shache,CN,38.42,77.24,27.27,53,100,1.01
